param N := 20;
param M := 20;
param D := 
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
;

param C := 
1 7
2 7
3 17
4 17
5 6
6 19
7 6
8 5
9 7
10 20
11 20
12 8
13 7
14 20
15 11
16 12
17 8
18 15
19 13
20 17
;

param W: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
2 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 
3 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 
4 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 
5 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 
6 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
8 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 
10 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 
11 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 
12 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 
13 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
14 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 
15 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
16 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 
17 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 
18 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 
19 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 
20 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 ;
